รหัสรถ,ทะเบียน,รุ่น,เส้นทาง,เลขตัวถัง
90,กำลังจดทะเบียน,Sunlong,โครงการ มหิดล ภายใน (15คัน),LPHFA3BF1SY001459
91,8824,NEX,โครงการ มหิดล ภายใน (15คัน),MRSABREMXPZM00113
92,8828,NEX,โครงการ มหิดล ภายใน (15คัน),MRSABREM9PZM00121
93,8823,NEX,โครงการ มหิดล ภายใน (15คัน),MRSABREM2PZM00123
94,8826,NEX,โครงการ มหิดล ภายใน (15คัน),MRSABREM5PZM00195
95,7865,NEX,โครงการ มหิดล ภายใน (15คัน),MRSABREM1PZM00209
96,กำลังจดทะเบียน,Sunlong,โครงการ ศิริราช 1 (12 คัน),LPHFA4BG6RY000722
97,กำลังจดทะเบียน,Sunlong,โครงการ ศิริราช 1 (12 คัน),LPHFA4BG8RY000723
98,กำลังจดทะเบียน,Sunlong,โครงการ ศิริราช 1 (12 คัน),LPHFA4BGXRY000724
99,กำลังจดทะเบียน,Sunlong,โครงการ ศิริราช 1 (12 คัน),LPHFA4BG1RY000725
100,กำลังจดทะเบียน,Sunlong,โครงการ ศิริราช 1 (12 คัน),LPHFA3BDXRY000710
101,กำลังจดทะเบียน,Sunlong,โครงการ ศิริราช 1 (12 คัน),LPHFA3BD1RY000711
102,กำลังจดทะเบียน,Sunlong,โครงการ ศิริราช 1 (12 คัน),LPHFA3BD3RY000712
103,กำลังจดทะเบียน,Sunlong,โครงการ ศิริราช 1 (12 คัน),LPHFA3BD5RY000713
104,34-6906,Sunlong,โครงการ ศิริราช 1 (12 คัน),LPHFA3BD7RY000714
105,34-6904,Sunlong,โครงการ ศิริราช 1 (12 คัน),LPHFA3BD9RY000715
106,34-6905,Sunlong,โครงการ ศิริราช 1 (12 คัน),LPHFA3BD0RY000716
107,34-6903,Sunlong,โครงการ ศิริราช 1 (12 คัน),LPHFA3BD2RY000717
108,34-3274,Asia Star,โครงการ ศิริราช 2 (5 คัน),LJSKB9KT9MD001992
109,กำลังจดทะเบียน (12 M),Sunlong,โครงการ ศิริราช 2 (5 คัน),LPHFA4BG4RY000718
110,กำลังจดทะเบียน (12 M),Sunlong,โครงการ ศิริราช 2 (5 คัน),LPHFA4BG6RY000719
111,กำลังจดทะเบียน (12 M),Sunlong,โครงการ ศิริราช 2 (5 คัน),LPHFA4BG2RY000720
112,กำลังจดทะเบียน (12 M),Sunlong,โครงการ ศิริราช 2 (5 คัน),LPHFA4BG4RY000721
113,34-3275,Asia Star,โครงการ การบินไทย,LJSKB9KT5MD001990
114,33-6926,SkyWell,โครงการเตรียมจุฬา,LD9KB4KH2HENJL263
115,33-6974,SkyWell,โครงการ กทม.ทวีวัฒนา,LC9KB4KH6JENJL009
117,33-7141,SkyWell,มหิดล นานาชาติ,LC9KB4KH7JENJL018
118,33-8261,SkyWell,โครงการเตรียมจุฬา,LC9KB4KH5JENJL020
119,33-6927,SkyWell,โครงการเตรียมจุฬา,LD9KB4KH0HENJL262
